taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUM/H12/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H12/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H12/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H2/COM,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDL+DUM/H2/IND,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDL+DUM/H2/RES,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDL+DUM/H3/COM,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDL+DUM/H3/IND,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDL+DUM/H3/RES,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDL+DUM/H4/COM,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDL+DUM/H4/IND,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDL+DUM/H4/RES,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDL+DUM/H5/COM,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDL+DUM/H5/IND,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDL+DUM/H5/RES,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDL+DUM/H6/COM,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDL+DUM/H6/IND,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDL+DUM/H6/RES,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDL+DUM/H7/COM,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDL+DUM/H7/IND,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDL+DUM/H7/RES,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDL+DUM/H8/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H8/IND,collapsed,structural,0,0,0,0.038
