taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUM/H8/IND,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H8/RES,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H9/COM,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H9/IND,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H9/RES,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM+VL100/H1/COM,fatalities,structural,0,0,0,0.019368751
CR/LDUAL+CDL+DUM+VL100/H1/IND,fatalities,structural,0,0,0,0.019368751
CR/LDUAL+CDL+DUM+VL100/H1/RES,fatalities,structural,0,0,0,0.019368751
CR/LDUAL+CDL+DUM+VL100/H10/COM,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H10/IND,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H10/RES,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H11/COM,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H11/IND,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H11/RES,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H12/COM,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H12/IND,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H12/RES,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H2/COM,fatalities,structural,0,0,0,0.019063777
CR/LDUAL+CDL+DUM+VL100/H2/IND,fatalities,structural,0,0,0,0.019063777
CR/LDUAL+CDL+DUM+VL100/H2/RES,fatalities,structural,0,0,0,0.019063777
CR/LDUAL+CDL+DUM+VL100/H3/COM,fatalities,structural,0,0,0,0.018697068
CR/LDUAL+CDL+DUM+VL100/H3/IND,fatalities,structural,0,0,0,0.018697068
CR/LDUAL+CDL+DUM+VL100/H3/RES,fatalities,structural,0,0,0,0.018697068
CR/LDUAL+CDL+DUM+VL100/H4/COM,fatalities,structural,0,0,0,0.020711481
CR/LDUAL+CDL+DUM+VL100/H4/IND,fatalities,structural,0,0,0,0.020711481
CR/LDUAL+CDL+DUM+VL100/H4/RES,fatalities,structural,0,0,0,0.020711481
CR/LDUAL+CDL+DUM+VL100/H5/COM,fatalities,structural,0,0,0,0.020085589
CR/LDUAL+CDL+DUM+VL100/H5/IND,fatalities,structural,0,0,0,0.020085589
CR/LDUAL+CDL+DUM+VL100/H5/RES,fatalities,structural,0,0,0,0.020085589
CR/LDUAL+CDL+DUM+VL100/H6/COM,fatalities,structural,0,0,0,0.019397961
CR/LDUAL+CDL+DUM+VL100/H6/IND,fatalities,structural,0,0,0,0.019397961
CR/LDUAL+CDL+DUM+VL100/H6/RES,fatalities,structural,0,0,0,0.019397961
CR/LDUAL+CDL+DUM+VL100/H7/COM,fatalities,structural,0,0,0,0.018648599
CR/LDUAL+CDL+DUM+VL100/H7/IND,fatalities,structural,0,0,0,0.018648599
CR/LDUAL+CDL+DUM+VL100/H7/RES,fatalities,structural,0,0,0,0.018648599
CR/LDUAL+CDL+DUM+VL100/H8/COM,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H8/IND,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H8/RES,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H9/COM,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H9/IND,fatalities,structural,0,0,0,0.019737502
CR/LDUAL+CDL+DUM+VL100/H9/RES,fatalities,structural,0,0,0,0.019737502
